id,startId,stopId,name,type,length,maxSpeed
638887264,249387794,7636053586,nan,footway,59.051,nan
789283292,249387794,7379970941,Fjelltunvegen,residential,75.131,30
789283292,249387794,7379971218,Fjelltunvegen,residential,145.335,30
341736990,249387814,6020853659,Fjelltunvegen,tertiary,82.174,30
341736990,249387814,7379971074,Fjelltunvegen,tertiary,42.657,30
228544701,2372172829,2372172840,nan,footway,101.544,nan
789283270,2372172829,7379970877,Framvegen,service,70.648,nan
228544701,2372172840,2372172829,nan,footway,101.544,nan
228544701,2372172840,2372172844,nan,footway,33.175,nan
228544701,2372172844,2372172840,nan,footway,33.175,nan
789283200,2372172844,7379971500,Fjelltunvegen,residential,24.67,30
341736990,6020853659,7379970771,Fjelltunvegen,tertiary,18.055,30
341736990,6020853659,249387814,Fjelltunvegen,tertiary,82.174,30
638888261,6020853659,7379948246,nan,path,170.684,nan
638888261,7379948246,6020853659,nan,path,170.684,nan
789283275,7379948246,7379971074,Fjelltunvegen,tertiary,97.45,30
789283170,7379963815,8745416906,Kråmyrvegen,residential,7.279,30
789283170,7379963815,8745416892,Kråmyrvegen,residential,42.195,30
944605569,7379963815,8745416901,nan,footway,38.991,nan
789283231,7379965378,7379970175,Setrevegen,tertiary,121.203,30
000000001,7379948246,7379965378,FjelltunvegenSetrevegen,tertiary,95,30
000000002,7379965378,7379948246,FjelltunvegenSetrevegen,tertiary,95,30
000000003,7379971166,8745416906,KråmyrvegenS1,residential,30,30
000000004,8745416906,7379971166,KråmyrvegenS1,residential,30,30
341737002,7379970175,7379971333,Emanuel Mohns veg,residential,72.004,30
789283231,7379970175,7379965378,Setrevegen,tertiary,121.203,30
789283487,7379970458,8745416907,Kråmyrvegen,service,20.243,nan
313018539,7379970474,7379970806,Framvegen,residential,28.64,30
789283546,7379970604,7379970806,nan,service,53.833,nan
341736990,7379970769,7379970771,Fjelltunvegen,tertiary,14.038,30
341736990,7379970769,7379971499,Fjelltunvegen,tertiary,63.565,30
789283271,7379970769,7379970877,Framvegen,residential,96.121,30
341736990,7379970771,7379970769,Fjelltunvegen,tertiary,14.038,30
341736990,7379970771,6020853659,Fjelltunvegen,tertiary,18.055,30
313018539,7379970806,7379970474,Framvegen,residential,28.64,30
313018539,7379970806,7379970877,Framvegen,residential,16.786,30
789283546,7379970806,7379970604,nan,service,53.833,nan
313018539,7379970877,7379970806,Framvegen,residential,16.786,30
789283270,7379970877,2372172829,Framvegen,service,70.648,nan
789283271,7379970877,7379970769,Framvegen,residential,96.121,30
230513488,7379970941,8745553572,Fjelltunvegen,service,1.677,30
789283292,7379970941,249387794,Fjelltunvegen,residential,75.131,30
341736990,7379971074,249387814,Fjelltunvegen,tertiary,42.657,30
789283275,7379971074,7379948246,Fjelltunvegen,tertiary,97.45,30
341737011,7379971134,7379971218,Fjelltunvegen,service,69.215,nan
341737007,7379971166,7379971497,Kråmyrvegen,residential,53.912,30
789283487,7379971166,8745416907,Kråmyrvegen,service,15.002,nan
789283521,7379971166,7379971169,Kråmyrvegen,service,51.959,nan
789283521,7379971169,7379971166,Kråmyrvegen,service,51.959,nan
341737011,7379971218,7379971134,Fjelltunvegen,service,69.215,nan
789283008,7379971218,7379971497,Fjelltunvegen,residential,59.212,30
789283292,7379971218,249387794,Fjelltunvegen,residential,145.335,30
341737002,7379971333,7379970175,Emanuel Mohns veg,residential,72.004,30
341737007,7379971497,7379971166,Kråmyrvegen,residential,53.912,30
789283008,7379971497,7379971218,Fjelltunvegen,residential,59.212,30
789283008,7379971497,7379971500,Fjelltunvegen,residential,17.997,30
341736990,7379971499,7379971500,Fjelltunvegen,tertiary,51.416,30
341736990,7379971499,7379970769,Fjelltunvegen,tertiary,63.565,30
789283200,7379971499,2372172844,Fjelltunvegen,residential,51.841,30
341736990,7379971500,7379971499,Fjelltunvegen,tertiary,51.416,30
789283008,7379971500,7379971497,Fjelltunvegen,residential,17.997,30
638887264,7636053586,249387794,nan,footway,59.051,nan
789283170,8745416892,7379963815,Kråmyrvegen,residential,42.195,30
944605569,8745416901,7379963815,nan,footway,38.991,nan
944605570,8745416905,8745416906,nan,service,49.272,nan
789283170,8745416906,7379963815,Kråmyrvegen,residential,7.279,30
944605570,8745416906,8745416905,nan,service,49.272,nan
944605571,8745416907,8745416908,nan,service,42.359,nan
789283487,8745416907,7379970458,Kråmyrvegen,service,20.243,nan
789283487,8745416907,7379971166,Kråmyrvegen,service,15.002,nan
944605571,8745416908,8745416907,nan,service,42.359,nan
230513488,8745553572,7379970941,Fjelltunvegen,service,1.677,30
